Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cab/28aa493f-3dfe-4d1b-a1e9-f47a72568f60/reject/,1,1,4.396957985591143,4.396957985591143,4.396957985591143,4.396957985591143,126.0,0.0033709517814487487,0.0033709517814487487,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/2a2248c9-f86b-468e-8e76-d0828a788fd4/reject/,1,1,2.8765829920303077,2.8765829920303077,2.8765829920303077,2.8765829920303077,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/2a7b1b8d-b255-4ec7-861f-4466ca7ed9ed/reject/,1,1,3.0652499990537763,3.0652499990537763,3.0652499990537763,3.0652499990537763,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/2b4764ed-fca4-48ea-b1c4-328d5df38663/reject/,1,0,5.289666005410254,5.289666005410254,5.289666005410254,5.289666005410254,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/2c29a539-e3b8-4ed8-82be-3a1b98173c55/reject/,1,1,2.1732919849455357,2.1732919849455357,2.1732919849455357,2.1732919849455357,126.0,0.0033709517814487487,0.0033709517814487487,2,2,2,2,2,2,2,2,2,2,2
POST,/api/v1/cab/2c2d0d53-7399-4811-93cb-ccf00b01271b/reject/,1,0,4.946875007590279,4.946875007590279,4.946875007590279,4.946875007590279,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/2c6c92af-03df-4651-bf8e-b019767c49ca/reject/,1,0,12.232499982928857,12.232499982928857,12.232499982928857,12.232499982928857,32.0,0.0033709517814487487,0.0,12,12,12,12,12,12,12,12,12,12,12
POST,/api/v1/cab/2cb2dd09-a2a1-4b0d-b52e-4af916044eaf/reject/,1,0,41.632457985542715,41.632457985542715,41.632457985542715,41.632457985542715,32.0,0.0033709517814487487,0.0,42,42,42,42,42,42,42,42,42,42,42
POST,/api/v1/cab/2d57b885-0243-4e50-b126-4532dccacb80/reject/,1,0,5.11991698294878,5.11991698294878,5.11991698294878,5.11991698294878,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/2d65cb94-046c-4b30-ae49-0bd5157f46da/reject/,1,0,9.973749984055758,9.973749984055758,9.973749984055758,9.973749984055758,32.0,0.0033709517814487487,0.0,10,10,10,10,10,10,10,10,10,10,10
POST,/api/v1/cab/2dcba905-3361-41e2-bd16-71fbeb50116f/reject/,1,0,4.389207984786481,4.389207984786481,4.389207984786481,4.389207984786481,32.0,0.0033709517814487487,0.0,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/2ddb8141-dee6-47a7-b691-f5dae0d48ff9/reject/,1,0,6.129791989224032,6.129791989224032,6.129791989224032,6.129791989224032,32.0,0.0033709517814487487,0.0,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/2f119dcd-ea7a-40f8-bcb8-b3c109d4ed34/reject/,1,0,8.206458995118737,8.206458995118737,8.206458995118737,8.206458995118737,32.0,0.0033709517814487487,0.0,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/2f50ebac-1395-4724-b8f5-dc28b83a8e94/reject/,1,1,7.378083013463765,7.378083013463765,7.378083013463765,7.378083013463765,126.0,0.0033709517814487487,0.0033709517814487487,7,7,7,7,7,7,7,7,7,7,7
POST,/api/v1/cab/2fb34db5-1464-4619-b118-953501b9a22c/reject/,1,0,21.302874985849485,21.302874985849485,21.302874985849485,21.302874985849485,32.0,0.0033709517814487487,0.0,21,21,21,21,21,21,21,21,21,21,21
POST,/api/v1/cab/3058834c-5adb-4821-a9a4-59ffa22fbae4/reject/,1,0,6.464583013439551,6.464583013439551,6.464583013439551,6.464583013439551,32.0,0.0033709517814487487,0.0,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/318cd43b-4934-47b2-a7de-4cb933bea336/reject/,1,1,5.082832998596132,5.082832998596132,5.082832998596132,5.082832998596132,126.0,0.0033709517814487487,0.0033709517814487487,5,5,5,5,5,5,5,5,5,5,5
